,genre,gender,avgRating
0,,,3.6378443131254796
1,,F,3.7655929624975197
2,,M,3.5956485908167934
3,Action,,3.713295451866173
4,Action,F,3.693661971830986
5,Action,M,3.71953151697785
6,Adventure,,4.691663362410785
7,Adventure,F,3.7039583333333335
8,Adventure,M,5.0
9,Animation,,3.6937379407121558
10,Animation,F,3.6555893374814397
11,Animation,M,3.706324212097884
12,Comedy,,3.613633987611406
13,Comedy,F,3.693653497742084
14,Comedy,M,3.5881374770598726
15,Crime,,3.5437284588872475
16,Crime,F,3.7091137649277184
17,Crime,M,3.4901185770750986
18,Documentary,,3.601702150850167
19,Documentary,F,3.669406970207982
20,Documentary,M,3.5780943747549983
21,Drama,,3.677279737098166
22,Drama,F,4.026210826210826
23,Drama,M,3.566091293137884
24,Family,,3.718320857342883
25,Family,F,3.716834142486169
26,Family,M,3.718786464410735
27,Fantasy,,3.7860727728983687
28,Fantasy,F,3.757463835026162
29,Fantasy,M,3.795853940860781
30,Film-Noir,,4.021881838074398
31,Film-Noir,F,4.128205128205129
32,Film-Noir,M,3.985294117647059
33,Horror,,3.9445281468292013
34,Horror,F,3.6267257542185103
35,Horror,M,4.060800698428536
36,Music,,3.44218352572882
37,Music,F,3.710496400151573
38,Music,M,3.3488065409468546
39,Musical,,2.426097924549937
40,Musical,F,3.789334508594094
41,Musical,M,1.9466831990080595
42,Mystery,,3.6526136770497675
43,Mystery,F,3.755242566510172
44,Mystery,M,3.611508085746521
45,Romance,,3.684032851312541
46,Romance,F,4.0542505592841165
47,Romance,M,3.5764128243480524
48,Sci-Fi,,3.5848101265822785
49,Sci-Fi,F,3.5799825174825175
50,Sci-Fi,M,3.586435191996469
51,Short,,3.5943440196510674
52,Short,F,3.679857012220467
53,Short,M,3.5654513791360034
54,Thriller,,3.5647606840278865
55,Thriller,F,3.7195209580838324
56,Thriller,M,3.510090112958497
57,War,,3.603128472519019
58,War,F,3.754800125904942
59,War,M,3.5465853086130017
60,Western,,3.517936164202994
61,Western,F,3.663850440409851
62,Western,M,3.466164933988137
,genre,gender,avgRating
0,,,3.6378443131254796
1,,F,3.7655929624975197
2,,M,3.5956485908167934
3,Action,,3.713295451866173
4,Action,F,3.693661971830986
5,Action,M,3.71953151697785
6,Adventure,,4.691663362410785
7,Adventure,F,3.7039583333333335
8,Adventure,M,5.0
9,Animation,,3.6937379407121558
10,Animation,F,3.6555893374814397
11,Animation,M,3.706324212097884
12,Comedy,,3.613633987611406
13,Comedy,F,3.693653497742084
14,Comedy,M,3.5881374770598726
15,Crime,,3.5437284588872475
16,Crime,F,3.7091137649277184
17,Crime,M,3.4901185770750986
18,Documentary,,3.601702150850167
19,Documentary,F,3.669406970207982
20,Documentary,M,3.5780943747549983
21,Drama,,3.677279737098166
22,Drama,F,4.026210826210826
23,Drama,M,3.566091293137884
24,Family,,3.718320857342883
25,Family,F,3.716834142486169
26,Family,M,3.718786464410735
27,Fantasy,,3.7860727728983687
28,Fantasy,F,3.757463835026162
29,Fantasy,M,3.795853940860781
30,Film-Noir,,4.021881838074398
31,Film-Noir,F,4.128205128205129
32,Film-Noir,M,3.985294117647059
33,Horror,,3.9445281468292013
34,Horror,F,3.6267257542185103
35,Horror,M,4.060800698428536
36,Music,,3.44218352572882
37,Music,F,3.710496400151573
38,Music,M,3.3488065409468546
39,Musical,,2.426097924549937
40,Musical,F,3.789334508594094
41,Musical,M,1.9466831990080595
42,Mystery,,3.6526136770497675
43,Mystery,F,3.755242566510172
44,Mystery,M,3.611508085746521
45,Romance,,3.684032851312541
46,Romance,F,4.0542505592841165
47,Romance,M,3.5764128243480524
48,Sci-Fi,,3.5848101265822785
49,Sci-Fi,F,3.5799825174825175
50,Sci-Fi,M,3.586435191996469
51,Short,,3.5943440196510674
52,Short,F,3.679857012220467
53,Short,M,3.5654513791360034
54,Thriller,,3.5647606840278865
55,Thriller,F,3.7195209580838324
56,Thriller,M,3.510090112958497
57,War,,3.603128472519019
58,War,F,3.754800125904942
59,War,M,3.5465853086130017
60,Western,,3.517936164202994
61,Western,F,3.663850440409851
62,Western,M,3.466164933988137
